majorclass,Frmd5,Slit2,Zswim6,Mlc1,Gfap,Ppp1r15a,Fosb,Eftud2,Dnajb1,Csrp1,Creb5,S100b,Wwtr1,Vcl,Samsn1,Tenm3,Gm20754,Grik1,Grm5,Trpm1,Ptprz1,Slc24a2,Gnat2,Gm32442,Pde6c,Pals2,Opn1sw,Arr3,Rbp3,Opn1mw,Mylk,Lrfn2,Rtbdn,Cngb3,Gngt2,Pde6h,Id1,Itm2a,Ly6a,Ly6c1,Adgrl4,Plcb1,Ptprb,Tm4sf1,Mecom,Arl15,Ctla2a,Cldn5,Slco1a4,Ptprm,Pde3a,Rgs3,Ndrg1,Thsd7b,Tfap2b,Ryr3,Vwc2,Megf11,Egfem1,Calb1,Chgb,Arhgap15,Anks1b,Frmpd4,Hs6st3,Galnt18,Spc25,Col9a1,Aqp4,Ttyh1,Acsl3,Abca8a,Il33,Gpr37,Ctss,C1qc,Laptm5,C1qa,Cd74,Trem2,Ly86,Ctsz,C1qb,Hexb,Rbpms,Myl9,Plcl1,Atp1a2,Ndufa4l2,Pdgfrb,Ptprk,Rbms3,Thy1,Kcnd2,Il1rapl1,Nefm,Stmn2,Calb2,Galntl6,Nrn1,Nefl,Kctd16,Mt3,Slc16a1,Col8a1,Rpe65,Rdh5,Rbp1,Slc16a8,Rgr,Rp1,Rho,Epb41
AC,1.467954,0.6004796,0.16973427,0.0010959831,0.0018227855,0.046301816,0.06383898,0.10849798,0.12820789,0.012110759,0.007916402,0.031050434,0.00708237,0.03072258,0.028625006,0.5739779,0.019305557,0.16495714,0.15903057,0.011851887,0.042789605,0.14174592,0.014951727,0.0048953933,0.0047449865,0.28434107,0.050075848,0.018035932,0.009314711,0.019353513,0.049455855,0.08224179,0.030553019,0.0731513,0.03861852,0.055336226,0.005118556,0.006701253,9.063018e-05,0.0003220329,0.00045920367,0.38925412,0.0043317294,0.000509665,0.00086612103,0.27805322,0.00036239505,0.0010265578,0.00071094395,0.1763907,0.5137064,0.09943374,0.023476763,0.06352025,0.84540445,0.09684532,0.2668614,0.048527163,0.25079325,0.17648914,0.6207805,0.05696703,1.2901509,0.1262072,0.5828292,0.1787063,0.012652676,0.007198414,0.00720902,0.15940185,0.21386808,0.0017567518,0.0017477873,0.04476152,0.0007506408,0.00044867088,9.0769296e-05,0.00058531103,0.00053234515,0.00046866058,0.0017204755,0.056028474,0.0003117389,0.04130388,0.025499335,0.0019638038,0.19841029,0.007219286,0.002715003,0.00038562177,0.8058216,0.1812403,0.5264393,0.1470176,0.5981055,0.086428925,0.41972566,0.60535973,0.4486229,0.049241446,0.2302249,0.4908697,0.13765135,0.021819687,0.020775734,9.59674e-05,0.0072452743,0.0068066777,0.00061432243,0.00014341826,0.0083616935,0.028890679,0.1969244
Astrocyte,0.05338456,0.07007238,1.0226752,1.6429071,2.3472853,1.1906462,1.601988,1.6555408,1.018881,1.1107333,1.2755754,2.2753677,0.9687064,1.5371735,0.011925389,0.29177684,0.0043103755,0.011031677,0.0075782784,0.0056841755,0.01639929,0.012508111,0.011997123,0.0042137,0.0007648275,0.04289319,0.023862103,0.0079776505,0.071182,0.011261166,0.045887303,0.0041816346,0.050353296,0.002619287,0.03852703,0.04994269,0.82628715,0.016701397,0.0027950108,0.0003340892,0.00017433793,0.025167737,0.01406141,0.0054450165,0.00046398916,0.22600342,0.0025734738,0.0017339168,0.00058076147,0.24384686,0.030946001,0.110021226,0.15883085,0.0045897514,0.034307033,0.011478735,0.010822209,0.0066861548,0.075590074,0.025261743,0.0683121,0.012014229,0.076975405,0.055237606,0.037347257,0.09352769,0.1964481,0.111796945,0.014317791,0.43453518,0.29594216,0.032189652,0.013569699,0.021094844,0.24156587,0.17101304,0.056794588,0.21467547,0.061610896,0.09267561,0.04508532,0.3688593,0.21257657,0.3312857,0.2531501,0.111223474,0.4708975,0.94672066,0.05120186,0.0033824078,0.46239045,0.2922692,0.17693669,0.012536409,0.31808218,0.08201203,0.10888449,0.5075365,0.037827186,0.097839616,0.20660222,0.037976567,0.75159246,0.12461065,0.048503906,0.0,0.028762748,0.13494618,0.0,0.009800373,0.04311555,0.83497936,0.092377245
BC,0.16048695,0.3909646,0.03323768,0.0013770736,0.00046844472,0.038064077,0.003618221,0.092396736,0.0606525,0.0031218699,0.00653462,0.021527773,0.0013784549,0.04672448,1.4688522,1.2776704,1.2669656,0.69713205,1.365754,1.5853729,1.1116574,0.3586489,0.20539571,0.028642945,0.0021414899,0.27169874,0.0026271876,0.0039996947,0.21570331,0.0053108027,0.062141526,0.19075428,0.048539035,0.40630266,0.58186054,0.0055235703,0.0017178277,0.006842468,0.0004783141,0.0007784263,0.0003849182,0.22686623,0.024955604,0.0003608846,0.0011499868,0.22654192,0.00045582114,0.0008370177,0.0006424279,0.21897656,0.15110506,0.24640863,0.06106641,0.036458198,0.001222117,0.60677403,0.037725903,0.0015994454,0.17870216,0.002142031,0.7001025,0.11885359,0.36528867,0.06397938,0.010483931,0.01678668,0.0069043688,0.0027616941,0.008587352,1.057017,0.14104427,0.0034415321,0.001958812,0.0343613,0.004037228,0.0013681927,0.0007104163,0.0022104892,0.00064810336,0.0012244469,0.0006610718,0.08479006,0.0026711456,0.019621713,0.0018133618,0.0009847807,0.84646755,0.0016265328,0.00047158828,0.00044276917,0.071218,0.028586904,0.011020381,0.12704185,0.0533619,0.0030358809,0.0043741954,0.0088947825,0.023740087,0.002425263,0.0070591155,0.2015533,0.199086,0.016929498,0.0579155,0.00020293864,0.012977965,0.07445195,0.0038259875,0.0010259273,0.0066571343,0.020306613,0.6062214
Cone,0.56228656,0.005425407,0.1400898,0.0006739504,0.00026232252,0.038278725,0.02384185,0.10189602,0.07001079,0.0007046662,0.00050061697,0.003920907,0.041378442,0.09683772,0.12090694,0.113348044,0.0080574695,0.008618874,0.007728048,0.012537908,0.007537034,1.3610415,2.3138635,1.2355862,2.0362597,1.2301637,1.498977,3.2698257,2.0774608,2.992639,1.5429351,1.3204539,1.8340491,2.5681267,3.088615,3.5861185,0.00070836605,0.0057532685,0.00046709608,0.00028616594,0.0011075548,0.0028094803,0.00062864035,0.0004665245,0.00013679895,0.47565147,0.0006304154,0.0012468767,0.0009823545,0.0067482167,0.14278434,0.0086458195,0.011408467,0.0011977836,0.0030535522,0.014491277,0.0018857763,0.0009663519,0.0026181457,0.00838778,0.97653097,0.0011672823,0.012393175,0.0010887362,0.00083781406,0.0013457385,0.008025162,0.00105105,0.0014586974,0.6091105,0.4729154,0.0023815238,0.001724274,0.0024843307,0.00261894,0.0017280359,0.00026393603,0.0030118767,0.00073636905,0.00025663374,0.00043541024,0.103394784,0.003005799,0.055678725,0.0051388047,0.00065704493,0.41403356,0.0011768817,0.0004291825,0.00016665507,0.004751319,0.022813592,0.005695487,0.0038138055,0.0022161698,0.011427318,0.009153175,0.032159317,0.0062687267,0.031585388,0.024631986,0.009267371,0.011710692,0.39646024,0.0005050316,0.0003233844,0.00575468,0.0050275126,0.0,9.4614064e-05,0.9037267,0.10866617,1.4990844
Endothelial,0.47980002,0.027121918,0.5937658,0.0067308466,0.004167027,0.661343,0.75506854,0.13164572,0.4732547,0.31522924,0.03300352,0.015914828,0.8126782,0.7663028,0.049871694,0.023929873,0.012872465,0.011784846,0.021946795,0.028287197,0.012468978,0.014425403,0.012850989,0.0018148542,0.0077642156,0.04173562,0.010736641,0.011568494,0.012495677,0.008940891,0.22182168,0.0038182074,0.0074959835,0.0059201033,0.07892797,0.022007465,1.3966869,1.8825982,1.7621307,1.9970078,1.8792653,1.820818,1.6592623,1.3805509,1.590483,1.7973412,1.1705716,2.5501983,1.7393839,1.797928,0.17815049,0.34145135,0.5901636,0.0025722086,0.013487035,0.015692739,0.0044808956,0.0032867,0.003333169,0.009155196,0.029997982,0.020438226,0.015184326,0.008882229,0.0038710218,0.16917212,0.02675089,0.008489564,0.0028009003,0.03131235,0.10950429,0.015474576,0.006506772,0.0038223118,0.015898844,0.014395676,0.015627805,0.019456012,0.033923436,0.009062709,0.007404953,0.2788371,0.019053034,0.10221009,0.9280849,0.56688195,0.43144494,0.6010033,0.47516653,0.36308023,0.73201793,0.22199044,0.016249642,0.008019885,0.014822707,0.006806683,0.087937385,0.050582048,0.007997476,0.0023456388,0.020507053,0.0064606243,0.050997276,1.0689495,0.067953765,0.09243453,0.124146566,0.17541873,0.035400346,0.17433746,0.039122988,0.07154593,0.26433173
HC,0.5868446,0.102698095,0.39067635,0.0026494265,0.0,0.024966544,0.0,0.11941454,0.10387327,0.0053342204,0.0,0.0032528099,0.0,0.0019240691,0.0,0.008706316,0.009204567,0.3831919,0.03315085,0.0,0.04390622,0.8016766,0.0,0.0,0.009204567,0.42563218,0.0048635905,0.010650692,0.035606377,0.0,0.010052001,0.01857361,0.030078506,0.011853994,0.009597404,0.0036683837,0.0,0.0,0.0,0.0,0.0,0.6137027,0.0024676214,0.004393996,0.0,0.33364934,0.0,0.0,0.0,0.0041567353,1.6974392,1.0289295,1.5735879,2.055874,1.5945164,1.1964079,1.2251359,1.1883624,1.5615402,2.73566,2.0356984,1.7969005,1.7300798,1.3318037,2.476838,1.2327027,0.019081248,0.0,0.006517688,0.17435703,0.20756632,0.003905357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19946808,0.0,0.0737851,0.058780473,0.008902456,0.0075765424,0.0,0.0,0.0,0.0,1.029561,0.066521786,0.038659815,0.024939394,0.32403597,0.93137276,0.3182961,0.044420764,0.09258465,0.6955736,0.030837081,0.022741286,0.048595503,0.0,0.0,0.009015856,0.0,0.0,0.0,0.012904712,0.18109645,0.12022716
MG,0.4445424,0.032711446,0.5117156,0.9088892,0.08619744,0.075275354,0.25868967,0.097112,0.07272735,0.36095202,0.29620448,0.04937744,0.30002034,0.32494998,0.0115786465,0.1643409,0.012591219,0.01234169,0.01686474,0.05421197,0.15295465,0.022752022,0.010622618,0.005013417,0.003232741,0.0644188,0.009268849,0.009806169,0.051685624,0.009209965,0.013301738,0.010081206,0.043980956,0.0074818474,0.027953971,0.025205538,0.37197724,0.22734815,0.0010932863,0.001538795,0.0011712578,0.05132529,0.0025662114,0.0018386014,0.025191268,0.29168025,0.0014859131,0.0025559429,0.0017747954,0.11043779,0.07744293,0.07625647,0.10617909,0.009803248,0.005408383,0.0076779337,0.0035202773,0.0033527596,0.007986046,0.009188967,0.027248513,0.003520841,0.020443438,0.04062971,0.027624398,0.50554246,1.9744331,1.1467716,1.4095813,1.1525438,2.0923522,1.615902,0.9494167,1.5437214,0.0015669125,0.0038684693,0.0015458236,0.002649764,0.0015852788,0.0012100902,0.0024590052,0.1918141,0.0027513606,0.06799606,0.12827882,0.12835497,0.08296002,0.19329746,0.041170828,0.1577746,0.025617324,0.051016405,0.07447079,0.01053175,0.66653234,0.026462851,0.025781164,0.079855524,0.016997395,0.021186156,0.059083886,0.015113737,0.5383969,0.4646056,0.007850241,0.002249709,0.028321724,0.8494646,0.000799604,0.03719911,0.08974312,0.36073172,0.29742485
Microglia,0.021627102,0.011324787,0.77823365,0.061395876,0.15100235,0.9927202,0.44310728,0.07427868,0.95330524,0.07149863,0.6435981,0.12481982,0.035542253,0.07774373,0.4681092,0.013971104,0.0032773768,0.007131267,0.0067805415,0.007883352,0.0032686077,0.006122296,0.009430076,0.0017713428,0.0018569254,0.11883172,0.026877379,0.008774445,0.043012686,0.0072153816,0.0040814364,0.0020438083,0.034412865,0.0024375862,0.5868801,0.039571457,0.036941472,0.0034490942,0.02041417,0.0012850917,0.0,0.0131946765,0.00071094476,0.0007795785,0.00026898715,0.29593354,0.0050442643,0.0007569946,0.0005015524,0.2556178,0.01189795,0.13439225,0.008963237,0.0031861372,0.032155562,0.0062335995,0.008379676,0.02954319,0.005486117,0.032603953,0.07875639,0.3639144,0.021339249,0.01568308,0.007995443,0.0056432867,0.036976557,0.0052306675,0.0067941044,0.032479692,0.034310047,0.009387361,0.011867631,0.008644538,3.4164894,3.04062,1.8671222,3.331759,0.8433642,2.0786426,2.0488,2.0223591,3.2709186,3.3921294,0.49958387,0.0032368768,0.59427065,0.011336629,0.0035666984,0.004577252,0.011616049,0.008997097,0.18602909,0.0072791423,0.011913788,0.10049983,0.13046223,0.62452656,0.023394885,0.09793328,0.2841882,0.03411865,0.06355761,0.04055205,0.00061009685,0.0005314784,0.021268811,0.010649753,0.000106677326,0.00050886493,0.022333343,0.5447651,0.11511059
Pericyte,0.024230152,0.032548714,0.29397628,0.0,0.001939385,0.59953666,0.75229096,0.12977792,0.34634945,0.17139366,0.06553871,0.019104904,0.5048923,1.034753,0.02897322,0.060953572,0.054867525,0.04086177,0.04756627,0.08081163,0.019238938,0.009451498,0.0236484,0.008083669,0.009694447,0.047090165,0.04451167,0.02427232,0.0105317375,0.011744038,0.8167999,0.0040731654,0.009207822,0.028547708,0.06303858,0.060845546,0.2255923,0.104382694,0.029766887,0.033454288,0.011319787,0.040451117,0.02448472,1.0471008,0.012944812,0.22988136,0.02494469,0.04683809,0.077984065,0.25484985,1.0235595,0.18048471,0.08158246,0.0,0.041335694,0.019044193,0.0071957237,0.0027085817,0.006169487,0.0069840564,0.07634663,0.065203354,0.0564358,0.0056316196,0.012371593,0.082957774,0.026679117,0.004532847,0.0007544938,0.040914662,0.09492398,0.05742631,0.0065522846,0.007455931,0.010803955,0.019628722,0.006999347,0.0056679817,0.0045983414,0.006530298,0.0040466585,0.32381168,0.006439815,0.09257172,1.3049794,2.2649667,1.9578822,2.1572144,1.7452219,1.4980475,1.7500274,1.1448305,0.011761346,0.029208338,0.010041417,0.00735952,0.012409964,0.038939,0.029903945,0.008673136,0.012609627,0.022730619,0.051347535,0.025681756,0.27907383,0.00973258,0.22633587,0.09108007,0.03242105,0.040064413,0.025251744,0.08635119,0.36007452
RGC,0.12110762,0.30075645,0.17228654,0.00029031927,0.00022001911,0.033558495,0.024994113,0.113309585,0.120467454,0.02891019,0.0067680697,0.0428472,0.0038127124,0.06420464,0.0032193381,0.7706281,0.015151844,0.18094862,0.16800015,0.0018704144,0.012151723,0.5328877,0.0007751398,0.0037729957,0.00030842834,0.09134456,0.0008290483,0.0008460591,0.0024058889,0.0027698432,0.023767773,0.07113463,0.026353896,0.003252944,0.0031016234,0.0015166055,0.0042713494,0.013217919,1.9516854e-05,1.5457648e-05,0.00029970254,0.6781994,0.0038473643,4.7339952e-05,0.0015675743,0.19093066,0.00015605454,3.848994e-05,3.0575666e-05,0.33624065,0.29656333,0.114749216,0.019158643,0.4728432,0.014292477,0.069280505,0.12491203,0.02309124,0.3321772,0.21545295,0.6700889,0.0060285125,0.7049929,0.40443462,0.20699038,0.11498528,0.0050354223,0.004228301,0.0016645533,0.14850768,0.3262061,0.0006775598,0.0005666079,0.047465388,0.0035671538,0.001556999,0.0004454674,0.0025926405,0.0011118236,0.00064837775,0.0015253875,0.2551219,0.0044872286,0.079918474,1.2735468,0.0010642359,0.079714075,0.001991518,0.0018599392,0.0002120551,0.017346095,0.7376548,1.7902231,0.9648207,1.147229,1.3035113,1.6923906,2.8324015,1.5533555,1.4725696,2.4239707,1.4735103,0.6617821,0.042438958,0.00088098395,0.0002892539,0.010799039,0.04192037,0.00029372537,6.908093e-05,0.0031064185,0.019647237,0.26762784
RPE,0.017196441,0.012993294,0.019834274,0.0022509727,0.0,0.07380114,0.0,0.039800376,0.07604607,0.35086298,0.0,0.0,0.050403077,0.031025803,0.017985642,0.012969596,0.011591778,0.0414934,0.0020237411,0.2417333,0.0026394255,0.0032205638,0.049625006,0.0026767508,0.010157198,0.010567681,0.014986417,0.008287527,0.17913492,0.013816129,0.016314002,0.002228275,0.12635624,0.0014009526,0.030298723,0.028821701,0.03071094,0.0077005215,0.00096322555,0.0,0.0,0.0036817968,0.004419746,0.0,0.0051364996,0.02774458,0.0,0.0,0.7595275,0.07708361,0.0031824554,0.028061578,0.009721741,0.0027642238,0.0060942597,0.0051840316,0.0027035777,0.00187827,0.007865653,0.0073013427,0.016504247,0.0,0.022824397,0.051383816,0.0,0.0,0.0343657,0.016867198,0.010773862,0.10192106,0.19163887,0.00763839,0.015462383,0.016448496,0.0007198729,0.0010549574,0.0,0.0010510113,0.0,0.004291261,0.0,0.3980219,0.0032531267,0.13830079,0.020038573,0.0,0.038167667,0.009786588,0.0,0.021156,0.016241552,0.009864392,0.0010510113,0.0,0.011517942,0.007128524,0.0,0.029665457,0.0040887455,0.0057487763,0.026223667,0.0,2.3641098,1.3851984,1.5450188,2.9277942,3.3726664,3.5531418,2.4408872,4.0407166,0.22975422,0.9338577,0.19617282
Rod,0.57098866,0.012788464,0.41976365,0.0022024421,0.0005751844,0.027910767,0.011574995,0.08584872,0.063527636,0.00226041,0.00088690483,0.004806031,0.05936416,0.1023894,0.044762105,0.024725216,0.004747949,0.007267431,0.004839461,0.0051490185,0.0038382332,0.006052454,0.011787996,0.4705715,0.006541475,0.061966725,0.03285446,0.032626774,0.9718182,0.0178933,0.14154227,0.06319278,1.3142567,0.008823343,0.032992937,0.052177902,0.0019831369,0.0012297442,0.00016482627,0.00026460583,0.00026879358,0.006833286,0.00040784525,0.00031625773,0.0012039194,0.33177236,0.0006522459,0.00042526767,0.00069737714,0.002679664,0.008570036,0.008433842,0.37391084,0.0022672212,0.008330827,0.0048592268,0.0027387077,0.0020782948,0.0034818524,0.020872515,0.12886198,0.0019757214,0.0130042,0.0036283073,0.0042308816,0.0020504652,0.018241571,0.003451928,0.0051560896,0.19707076,0.13421656,0.005935492,0.0042852894,0.0061087334,0.0018031934,0.0009910704,0.0004708027,0.0008581435,0.00039874093,0.00027343465,0.0003929277,0.036613528,0.0017236159,0.029376132,0.017173735,0.0008201642,0.02395243,0.0035212114,0.0009117759,0.00025648263,0.003911319,0.019038633,0.018634431,0.005623873,0.00774445,0.034655716,0.04413386,0.11785362,0.17320584,0.03372562,0.10026616,0.0068417927,0.029313575,0.31284612,0.00076657854,0.0049238726,0.012495147,0.016505614,0.0017937799,0.011408609,2.478517,3.92043,1.5212796
